codigo_amarracao_imagem;codigo;descricao;familia_comercial;familia_material;qtd_por_caixa;qtd_por_pallet;qtd_por_camada
2320070006;2320070006-109;BEB LACTEA ACHOCOLATADO SHEFA COM TAMPA 1000 ML;Achoc - Litro;ACHOCOL. 1000 ML SHEFA;12;85;17
2320060011;2320060011-109;BEB LACTEA ACHOCOLATADO SHEFA 200 ML;Achoc - 200;ACHOCOL. 200 ML SHEFA;27;170;17
200150006;200150006-109;ALIMENTO COM SOJA - SABOR ORIGINAL LIDER 1000 ML;Soja - Originais;ALIM. A BASE DE SOJA;12;85;17
2320090003;2320090003-109;BEB LACTEA COM AVEIA SHEFA 1000 ML;Aveia - Litro;AVEIA 1000 ML SHEFA;12;85;17
2320080006;2320080006-109;BEB LACTEA COM AVEIA SHEFA 200 ML;Aveia - 200;AVEIA 200 ML SHEFA;27;170;17
2120300001;2120300001-106;REFRESCO SABORIZADO COM FRUTAS SHEFA - SABOR UVA 150 ML;Beb de Fruta - 150;BEB. FRUTAS 150 ML SHEFA;27;204;17
2120300002;2120300002-106;REFRESCO SABORIZADO COM FRUTAS SHEFA - SABOR MORANGO 150 ML;Beb de Fruta - 150;BEB. FRUTAS 150 ML SHEFA;27;204;17
2120300003;2120300003-106;REFRESCO SABORIZADO COM FRUTAS SHEFA - SABOR LARANJA 150 ML;Beb de Fruta - 150;BEB. FRUTAS 150 ML SHEFA;27;204;17
2120300004;2120300004-106;REFRESCO SABORIZADO COM FRUTAS SHEFA - SABOR MARACUJA 150 ML;Beb de Fruta - 150;BEB. FRUTAS 150 ML SHEFA;27;204;17
2320290001;2320290001-106;BEB LACTEA ACHOCOLATADO SHEFA 150 ML;Achoc - 150;BEB. LACTEOS 150 ML SHEFA;27;204;17
2320290001;2320290001-109;BEBIDA LACTEA UHT ACHOCOLATADO 150 ML SHEFA;Achoc - 150;BEB. LACTEOS 150 ML SHEFA;27;204;17
2320290002;2320290002-109;BEB LACTEA MORANGO SHEFA 150 ML;Morango - 150;BEB. LACTEOS 150 ML SHEFA;27;204;17
200020042;200020042-106;BEBIDA LACTEA UHT CHOCOLATE 150 ML LIDER;Achoc - 150;BEBIDA LACTEA;27;204;17
200020042;200020042-109;BEBIDA LACTEA UHT CHOCOLATE 150 ML LIDER;Achoc - 150;BEBIDA LACTEA;27;204;17
200020027;200020027-109;BEBIDA LACTEA UHT C/AVEIA 1 L LIDER;Aveia - Litro;BEBIDA LACTEA;12;85;17
200020028;200020028-109;BEBIDA LACTEA UHT C/AVEIA 200 ML LIDER;Aveia - 200;BEBIDA LACTEA;27;170;17
200020030;200020030-109;BEBIDA LACTEA UHT CHOCOLATE 1 L LIDER;Achoc - Litro;BEBIDA LACTEA;12;85;17
200020034;200020034-106;BEBIDA LACTEA UHT CHOCOLATE 200 ML LIDER;Achoc - 200;BEBIDA LACTEA;27;170;17
200020034;200020034-109;BEBIDA LACTEA UHT CHOCOLATE 200 ML LIDER;Achoc - 200;BEBIDA LACTEA;27;170;17
200020036;200020036-109;BEBIDA LACTEA UHT VITA LIDER 1 L LIDER;Vitamina - Litro;BEBIDA LACTEA;12;85;17
200020037;200020037-109;BEBIDA LACTEA UHT CHOC ZERO 1 L LIDER;Achoc - Litro;BEBIDA LACTEA;12;85;17
200020038;200020038-109;BEBIBA LACTEA UHT CHOC ZERO 200 ML LIDER;Achoc - 200;BEBIDA LACTEA;27;170;17
200020039;200020039-109;BEBIDA LACTEA UHT VITA 200 ML LIDER;Vitamina - 200;BEBIDA LACTEA;27;170;17
210130026;210130026-106;CHA BRANCO COM PITAYA DIETETICO GOLD 1000 ML;Chá - Ver/Bra;CHA 1000 ML GOLD;12;85;17
210130031;210130031-106;CHA VERDE COM LARANJA E GENGIBRE DIETETICO GOLD 1000 ML;Chá - Ver/Bra;CHA 1000 ML GOLD;12;85;17
210130032;210130032-106;CHA VERDE COM LIMAO DIETETICO GOLD 1000 ML;Chá - Ver/Bra;CHA 1000 ML GOLD;12;85;17
210130033;210130033-106;CHA VERDE COM PESSEGO DIETETICO GOLD 1000 ML;Chá - Ver/Bra;CHA 1000 ML GOLD;12;85;17
200040010;200040010-109;CREME DE LEITE UHT 200 GR LIDER;Creme - 200;CREME DE LEITE;27;170;17
200040012;200040012-109;CREME DE LEITE LEVE UHT 1,030 KG LIDER;Creme - Litro;CREME DE LEITE;12;85;17
200040013;200040013-109;CREME DE LEITE UHT 200 GR ZERO LACTOSE LIDER;Creme - 200;CREME DE LEITE;27;170;17
200040020;200040020-109;NATA 300 G LIDER;Nata - 300;CREME DE LEITE;12;96;16
200040021;200040021-109;CREAM CHEESE 150 G LIDER;Nata - 300;CREME DE LEITE;12;187;17
200040022;200040022-109;CREME RICOTA 200 G LIDER;Nata - 300;CREME DE LEITE;12;187;16
2320110012;2320110012-109;CREME DE LEITE SHEFA 200 G;Creme - 200;CREME DE LEITE 200 ML SHEFA;27;170;17
2020030007;2020030007-106;LEITE UHT DESNATADO SHEFA 1000 ML;Magros - S/ Tampa;DESNATADO 1000 ML SHEFA;12;90;15
2020030007;2020030007-141;LEITE UHT DESNATADO SHEFA 1000 ML;Magros - S/ Tampa;DESNATADO 1000 ML SHEFA;12;90;15
2020030008;2020030008-106;LEITE UHT GFA DESNATADO SHEFA 1000 ML;Magros - Garrafa;DESNATADO 1000 ML SHEFA;6;140;28
200020040;200020040-109;BEB LACTEA COM AVEIA GOLD 1000 ML;Aveia - Litro;GOLD BEBIDA LACTEA;12;85;17
200020041;200020041-109;BEB LACTEA COM AVEIA GOLD 200 ML;Aveia - 200;GOLD BEBIDA LACTEA;27;170;17
220220003;220220003-109;BEBIDA LACTEA UHT ACHOCOLATADO GOLD 200 ML;Achoc - 200;GOLD BEBIDA LACTEA;27;170;17
220220004;220220004-109;BEBIDA LACTEA UHT ACHOCOLATADO GOLD 1000 ML;Achoc - Litro;GOLD BEBIDA LACTEA;12;85;17
220220008;220220008-109;BEB LACTEA VITAMINA COM FRUTAS GOLD 1000 ML;Vitamina - Litro;GOLD BEBIDA LACTEA;12;85;17
220220009;220220009-109;BEB LACTEA VITAMINA COM FRUTAS GOLD 200 ML;Vitamina - 200;GOLD BEBIDA LACTEA;27;170;17
2020010001;2020010001-106;LEITE UHT INTEGRAL SHEFA 1000 ML;Integral - S/ Tampa;INTEGRAL 1000 ML SHEFA;12;90;15
2020010001;2020010001-141;LEITE UHT INTEGRAL SHEFA 1000 ML;Integral - S/ Tampa;INTEGRAL 1000 ML SHEFA;12;90;15
2020010002;2020010002-106;LEITE UHT GFA INTEGRAL SHEFA 1000 ML;Integral - Garrafa;INTEGRAL 1000 ML SHEFA;6;140;28
200100008;200100008-109;LEITE UHT DESNATADO 1 L LIDER;Magros - S/ Tampa;LEITE UHT;12;90;15
200100008;200100008-141;LEITE UHT DESNATADO 1 L LIDER;Magros - S/ Tampa;LEITE UHT;12;90;15
200100018;200100018-109;LEITE UHT INTEGRAL 1 L LIDER;Integral - S/ Tampa;LEITE UHT;12;90;15
200100018;200100018-141;LEITE UHT INTEGRAL 1 L LIDER;Integral - S/ Tampa;LEITE UHT;12;90;15
200100028;200100028-109;LEITE UHT SEMI DESNATADO 1 L LIDER;Magros - S/ Tampa;LEITE UHT;12;90;15
200100028;200100028-141;LEITE UHT SEMI DESNATADO 1 L LIDER;Magros - S/ Tampa;LEITE UHT;12;90;15
200100101;200100101-109;LEITE UHT ZERO LACTOSE 1 L LIDER;Espec. - C/ Tampa;LEITE UHT;12;85;17
200100108;200100108-106;LEITE UHT GFA LIDER INTEGRAL 1 LT;Integral - Garrafa;LEITE UHT;6;140;28
200100109;200100109-106;LEITE UHT GFA LIDER SEMI DESNATADO 1 LT;Magros - Garrafa;LEITE UHT;6;140;28
200100110;200100110-106;LEITE UHT GFA LIDER DESNATADO 1 LT;Magros - Garrafa;LEITE UHT;6;140;28
200110066;200110066-109;MANTEIGA C/ SAL 200 GR LIDER;Manteiga - 200;MISTURA PARA SOBREMESA;20;81;9
200110067;200110067-109;MANTEIGA S/ SAL 200 GR LIDER;Manteiga - 200;MISTURA PARA SOBREMESA;20;81;9
#VALOR!;200110067140;MANTEIGA S/ SAL BLOCO 5 KG TANIA;Manteiga - Bloco;MISTURA PARA SOBREMESA;10;81;1
200110068;200110068-109;MANTEIGA C/ SAL 500 GR LIDER;Manteiga - 500;MISTURA PARA SOBREMESA;10;81;9
200110071;200110071-109;MANTEIGA C/ SAL 500 G TANIA;Manteiga - 500;MISTURA PARA SOBREMESA;10;81;9
200110072;200110072-101;MANTEIGA C/ SAL 200 G TANIA;Manteiga - 200;MISTURA PARA SOBREMESA;20;81;9
200110074;200110074-109;MANTEIGA C/ SAL ZERO LACTOSE 200 G LIDER;Manteiga - 200;MISTURA PARA SOBREMESA;20;81;9
200110075;200110075-109;MANTEIGA C/ SAL ZERO LACTOSE 500 G LIDER;Manteiga - 500;MISTURA PARA SOBREMESA;12;96;9
210130042;210130042-106;NECTAR DE MARACUJA DE BAIXA CALORIA GOLD 1000 ML;Néctar - Litro;NECTAR;12;85;17
210130043;210130043-106;NECTAR MISTO DE MACA E TANGERINA DE BAIXA CALORIA GOLD1000ML;Néctar - Litro;NECTAR;12;85;17
210130044;210130044-106;NECTAR MISTO DE LARANJA E MACA DE BAIXA CALORIA GOLD 1000 ML;Néctar - Litro;NECTAR;12;85;17
210130046;210130046-106;NECTAR MISTO DE UVA E MACA DE BAIXA CALORIA GOLD 1000 ML;Néctar - Litro;NECTAR;12;85;17
210130048;210130048-106;SUCO MISTO DE LARANJA E MACA GOLD 1000 ML;Suco Litro;NECTAR;12;85;17
210130050;210130050-106;SUCO MISTO DE UVA E MACA GOLD 1000 ML;Suco Litro;NECTAR;12;85;17
210130051;210130051-106;NECTAR DE MARACUJA DE BAIXA CALORIA GOLD 200 ML;Néctar - 200;NECTAR;27;170;17
210130052;210130052-106;NECTAR MISTO DE MACA E TANGERINA DE BAIXA CALORIA GOLD 200ML;Néctar - 200;NECTAR;27;170;17
210130053;210130053-106;NECTAR MISTO DE LARANJA E MACA DE BAIXA CALORIA GOLD 200 ML;Néctar - 200;NECTAR;27;170;17
210130055;210130055-106;NECTAR MISTO DE UVA E MACA DE BAIXA CALORIA GOLD 200 ML;Néctar - 200;NECTAR;27;170;17
210130056;210130056-106;NECTAR DE PESSEGO E MACA 200 ML GOLD;Néctar - 200;NECTAR;27;170;17
210130057;210130057-106;SUCO MISTO DE LARANJA E MACA GOLD 200 ML;Suco - 200 ML;NECTAR;27;170;17
210130059;210130059-106;SUCO MISTO DE UVA E MACA GOLD 200 ML;Suco - 200 ML;NECTAR;27;170;17
2120160020;2120160020-106;NECTAR MISTO DE LARANJA E MACA SHEFA 1000 ML;Néctar - Litro;NECTAR 1000 ML SHEFA;12;85;17
2120160021;2120160021-106;NECTAR MISTO DE MACA E TANGERINA SHEFA 1000 ML;Néctar - Litro;NECTAR 1000 ML SHEFA;12;85;17
2120160026;2120160026-106;NECTAR MISTO DE ABACAXI E MACA SHEFA 1000 ML;Néctar - Litro;NECTAR 1000 ML SHEFA;12;85;17
2120160027;2120160027-106;NECTAR MISTO DE UVA E MACA SHEFA 1000 ML;Néctar - Litro;NECTAR 1000 ML SHEFA;12;85;17
2120140007;2120140007-106;NECTAR MISTO DE LARANJA E MACA SHEFA 200 ML;Néctar - 200;NECTAR 200 ML SHEFA;27;170;17
2120140008;2120140008-106;NECTAR MISTO DE MACA E TANGERINA SHEFA 200 ML;Néctar - 200;NECTAR 200 ML SHEFA;27;170;17
2120140014;2120140014-106;NECTAR MISTO DE ABACAXI E MACA SHEFA  200 ML;Néctar - 200;NECTAR 200 ML SHEFA;27;170;17
2120140015;2120140015-106;NECTAR MISTO DE UVA E MACA SHEFA 200 ML;Néctar - 200;NECTAR 200 ML SHEFA;27;170;17
#VALOR!;200010102140;QUEIJO APARAS PARMESAO TANIA;Aparas;QUEIJO FINO;1;1;1
200280052;200280052-101;REQUEIJAO TRADICIONAL 24 X 180 GR LIDER;Requeijao - 180;QUEIJO TRADICIONAL;24;96;15
200280052;200280052-109;REQUEIJAO TRADICIONAL 24 X 180 GR LIDER;Requeijao - 180;QUEIJO TRADICIONAL;24;90;15
200280053;200280053-109;REQUEIJAO LIGHT 24 X 180 GR LIDER;Requeijao - 180;QUEIJO TRADICIONAL;24;90;15
200280055;200280055-101;REQUEIJAO TRADICIONAL 12 X 400 GR LIDER;Requeijao - 400;QUEIJO TRADICIONAL;12;90;16
200280055;200280055-109;REQUEIJAO TRADICIONAL 12 X 400 GR LIDER;Requeijao - 400;QUEIJO TRADICIONAL;12;96;16
200280186;200280186-109;QUEIJO MUSSARELA 4 KG LIDER;Mussarela;QUEIJO TRADICIONAL;1;45;9
200280187;200280187-109;QUEIJO MUSSARELA FATIADO 150 G LIDER;Mussarela;QUEIJO TRADICIONAL;20;110;22
200280188;200280188-109;QUEIJO MUSSARELA FATIADO 400 G LIDER;Mussarela;QUEIJO TRADICIONAL;10;110;22
200280193;200280193-101;REQUEIJAO CREMOSO 12 X 180 G TANIA;Requeijao - 180;QUEIJO TRADICIONAL;12;176;15
200280203;200280203-109;REQUEIJAO ZERO LACTOSE 24 X 180 GR LIDER;Requeijao - 180;QUEIJO TRADICIONAL;24;96;15
200280204;200280204-109;REQUEIJAO ZERO LACTOSE 12 X 400 GR LIDER;Requeijao - 400;QUEIJO TRADICIONAL;12;90;16
2020020004;2020020004-141;LEITE UHT SEMI DESNATADO SHEFA 1000 ML;Magros - S/ Tampa;SEMI 1000 ML SHEFA;12;90;15
2020020005;2020020005-106;LEITE UHT GFA SEMI DESNATADO SHEFA 1000 ML;Magros - Garrafa;SEMI 1000 ML SHEFA;6;140;28
2320310001;2320310001-109;BEB LACTEA VITAMINA COM FRUTAS SHEFA 200 ML;Vitamina - 200;VITAMINA 200 ML SHEFA;27;170;17
2020040010;2020040010-106;LEITE GFA SHEFA ZERO LACTOSE SEMI DESN 1000 ML;Espec. - Garrafa;ZERO LACTOSE 1000 ML SHEFA;6;140;28
200100114;200100114-106;LEITE UHT GFA LIDER ZERO LACTOSE SEMI DESN 1 LT;Espec. - Garrafa;ZERO LACTOSE 1000 ML SHEFA;6;140;28
